user_count,education,education_id,ed_list
37085,Bachelor or Higher,0,[]
37086,Bachelor or Higher,0,[]
37087,Some College or Associate,1,[]
37088,Bachelor or Higher,0,[]
37089,Bachelor or Higher,0,[]
37090,Bachelor or Higher,0,[]
37091,Bachelor or Higher,0,[]
37092,Bachelor or Higher,0,[]
37093,Bachelor or Higher,0,[]
37094,Bachelor or Higher,0,[]
37095,Other,4,"[['', 'Photojournalist and Design school Vraa Hojskole', ''], ['', 'Marketing advertisment school', '']]"
37096,Some College or Associate,1,[]
37097,Other,4,"[['Other', 'Hudson County Community College', 'I have been study Writing and Grammar, plus Reading and Academic Discussion for 5 years. In addition, I have strong command of the English Grammar and English Writing Structures. In fact, I am a skillful proofreader.']]"
37098,Bachelor or Higher,0,[]
37099,Bachelor or Higher,0,[]
37100,Bachelor or Higher,0,[]
